Reporter Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
British Virgin Islands,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,Import,0.0,0.0,0.0,2891610.776,3578598.332,3680028.885,0.0,0.0,4076923.002,3018730.077,0.0,0.0,2106463.624,2886913.717,2356946.571,2719338.794,0.0,3241488.094,0.0,0.0,0.0,0.0,0.0,6912831.294,7020535.834,6818965.942,6109064.695,57418439.637
Brunei,Export,0.0,0.0,0.0,4243920.636,3882431.946,3854422.251,0.0,0.0,4760044.392,4150602.542,0.0,0.0,6597842.753,6712628.006,7822588.896,9479345.39,0.0,14120024.671,0.0,0.0,0.0,0.0,0.0,23918273.961,21014681.171,19279171.696,11265840.54,141101818.851
Bulgaria,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9967317.578,9695699.605,9826082.409,10669553.955,12888085.246,14432272.092,15811057.11,21536042.546,28581260.923,35848684.831,45744025.703,58938317.628,72723001.81,45852982.025,49744866.567,63852383.26,64477482.551,67552539.743,68084187.063,57388652.834,763614495.479
Bulgaria,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9312145.001,9563096.088,8291515.484,7523623.126,9084465.669,9850073.477,11138821.386,14577008.299,19282191.093,22762609.674,29125456.919,35848361.026,43157133.605,31792278.402,39587251.915,54407990.745,51739254.677,57398371.123,57129710.892,49828879.678,571400238.279
Burkina Faso,Import,0.0,0.0,0.0,0.0,0.0,0.0,959866.58,1152856.662,1445779.682,1582774.806,1541176.151,1437208.769,1095688.981,1158860.43,1568987.787,1981604.066,2312832.759,0.0,3098118.109,3709600.167,3698170.489,4029673.351,4748978.927,6919114.875,8598568.797,7096181.06,5841713.524,63977755.972
Burkina Faso,Export,0.0,0.0,0.0,0.0,0.0,0.0,341002.762,397115.526,440346.528,493164.356,472808.09,367713.986,348937.308,339329.07,627927.78,783516.965,664503.166,0.0,904147.952,939302.316,1588817.442,2573785.225,4622259.195,4811124.105,5292372.214,5677795.825,4343369.247,36029339.058
Burundi,Import,0.0,0.0,0.0,0.0,421638.461,385273.664,530586.497,276262.723,238638.965,321792.054,258626.456,297252.596,272982.453,254014.81,284571.763,339988.086,511093.05,861819.079,838469.795,619032.296,668352.688,793733.6,2227638.869,1982734.361,1419184.622,1321968.972,1101995.486,16227651.346
Burundi,Export,0.0,0.0,0.0,0.0,313738.793,341400.46,356218.411,163406.035,137189.38,172751.353,124756.96,85641.737,84028.022,52555.746,131417.549,165003.311,226147.976,453316.748,297523.492,276153.749,217539.622,226814.851,382390.799,485146.706,395133.842,251344.905,195714.624,5535335.071
Cambodia,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360116.066,2463006.662,2676159.198,2863348.752,3371557.049,4205802.242,4902867.17,5848611.584,7648699.226,6769805.854,8524547.909,10977837.137,13455846.052,14907375.605,17539211.06,19488210.074,128003001.64
Cambodia,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501736.519,2784078.483,3402663.617,3882846.265,4949920.392,5488555.417,6580898.771,6586171.528,7861125.992,8313116.549,9755331.503,12145028.059,11006935.21,13150073.917,13376929.311,16728439.2,128513850.733
Cameroon,Import,0.0,0.0,0.0,0.0,0.0,0.0,2140755.964,2389921.393,2968771.025,2965719.525,2609663.156,2941186.469,3673315.448,3691730.118,4271732.005,4750743.353,5397604.611,6161436.881,9220274.822,8167741.531,7489207.566,9932448.346,9953950.884,12890857.288,13172489.299,14938004.128,11925483.01,141653036.822
Cameroon,Export,0.0,0.0,0.0,0.0,0.0,0.0,2984364.975,3441373.072,3618741.975,0.0,0.0,3385808.719,3298492.979,3554310.429,4440975.8,4858093.49,4747877.981,6931903.38,8246730.834,4211884.623,3427079.752,7576093.634,4169071.446,8334552.754,8847905.33,10170354.996,7976866.498,104222482.667
Canada,Import,222527285.832,228208749.788,231317760.255,239947312.641,257670566.792,291417249.863,323272192.586,336052675.385,388134463.289,396781098.019,424601501.258,467695475.531,436554800.229,434902246.081,470706060.284,536549826.577,617620219.164,688382817.156,748377050.921,803907899.995,630875152.731,769758804.935,884637201.47,909259275.837,907419790.674,910778618.009,823725760.173,14381081855.5
Canada,Export,228540680.353,250722673.467,249761694.41,265823146.537,286220688.33,328706379.405,377214427.893,399922742.547,426743711.956,425962969.443,474189708.274,551059823.117,518854188.064,502115363.918,540898302.876,630139636.178,715840671.039,770014751.958,833278466.003,902909151.001,623791891.434,765528603.154,889751220.324,899120260.984,902625989.318,936974202.375,809585971.959,15506297316.3
Cape Verde,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520941.676,461793.594,522375.356,472242.658,491622.407,578613.421,706738.376,856672.28,873518.198,1075340.795,1471767.871,1647032.363,1339404.192,1459036.369,1889617.003,1505685.858,1450879.679,1535198.523,1200700.078,20059180.697
Cape Verde,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142675.347,76096.493,79732.544,92111.996,19508.002,21166.882,24925.22,30394.203,178689.673,220571.857,229555.498,0.0,342553.831,440232.711,611318.659,672137.843,664909.495,713334.743,430159.901,4990074.898
Cayman Islands,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820266.289,0.0,1795026.168,3615292.457
Cayman Islands,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Import,0.0,0.0,0.0,0.0,284092.025,288375.889,522794.148,353573.427,209292.822,229593.674,189829.456,140053.815,134352.665,148711.702,197577.452,356552.329,351679.535,276386.939,394461.639,367826.322,420014.475,416535.201,423725.555,432838.622,257755.302,607095.096,866681.089,7869799.179
Central African Republic,Export,0.0,0.0,0.0,0.0,182115.574,161451.629,235147.093,227479.286,195168.985,205789.308,217564.907,157937.156,146078.827,137774.182,130895.444,212286.826,215719.695,215174.222,261173.005,227179.092,160829.98,178871.154,206398.479,225064.244,96371.564,41238.395,193641.057,4231350.104
Chad,Import,0.0,0.0,0.0,0.0,0.0,0.0,429931.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429931.369
Chad,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Import,0.0,13793604.79,14562186.591,18432758.962,20460223.207,21716105.66,28956293.362,32693502.229,35320725.727,33409832.336,27166750.003,32487664.969,31506401.9,30140852.17,37634916.687,48265065.22,64202696.363,75527866.414,91465762.618,121823701.867,83010824.69,114392773.564,146080700.338,156866522.923,154945875.718,141834941.13,123589908.495,1700288457.93
Chile,Export,0.0,16425396.18,17180461.847,19092430.564,17776698.03,21559090.064,30124208.814,29137182.584,31392664.691,28547461.633,29903827.623,34938797.537,36449055.521,33569929.886,41466589.241,62911897.952,79846299.343,113072856.583,130984589.604,123657827.228,105747613.966,135514429.364,155967162.435,149303421.657,147287971.278,146414391.806,120932705.487,1859204960.92
China,Import,0.0,0.0,0.0,131813740.378,178487836.261,199974195.691,230178723.942,240699143.854,245507749.387,241474728.916,286924115.333,382638879.53,415331525.097,495028303.574,692090334.301,938064962.403,1091031565.38,1308172538.18,1591400468.7,1918140430.22,1709937849.9,2392592371.87,3018530205.82,3135340334.34,3343170006.18,3370579810.51,2858417366.97,30415527186.7
China,Export,0.0,0.0,0.0,128136699.719,155797247.112,201920872.38,250465572.426,257419860.039,307624661.572,316951198.027,339407315.284,435404822.245,465537454.229,567594497.928,766709815.585,1039122960.05,1340740649.53,1707612005.99,2161139333.09,2552667076.08,2146225110.68,2817227145.03,3382636368.2,3621033594.53,3870005410.36,4130401231.86,4042385717.19,37004166619.1
Christmas Island,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos (Keeling) Islands,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos (Keeling) Islands,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Import,0.0,0.0,9858879.698,13220274.71,19363474.737,23479778.184,27354488.987,26988059.081,30259567.792,28858242.308,20998392.37,23077782.147,25157631.796,24854040.64,26975240.137,33488893.847,41120939.843,50590200.481,64487095.049,77830640.051,64743203.877,79989261.997,106176376.786,112899811.23,115780009.609,124698264.474,106292904.347,1278543454.18
Colombia,Export,0.0,0.0,14474127.157,13775800.804,14154099.504,16956458.331,20231543.624,21235364.016,22992989.259,21576604.021,23147352.087,26195687.748,24506364.931,23628610.604,25981658.119,33222467.243,42055561.242,48441538.09,59766629.012,74724784.039,65497185.965,78816427.292,112421281.811,118441877.929,116329384.686,107865589.602,70317590.793,1196756977.91
